651,53,
669,61,
685,72,
697,83,
706,92,
713,102,
718,111,
724,120,
728,132,
731,142,
654,84,
655,70,
-1,-1,
731,142,
654,84,
653,108,
696,136,
-1,-1,
653,108,
696,136,
669,140,
-1,-1,
653,108,
669,140,
639,151,
-1,-1,
645,39,
649,46,
674,56,
676,47,
-1,-1,
674,56,
676,47,
697,48,
692,68,
-1,-1,
697,48,
692,68,
709,86,
745,81,
749,62,
-1,-1,
697,48,
749,62,
755,42,
-1,-1,
709,86,
745,81,
748,114,
724,106,
-1,-1,
748,114,
724,106,
734,142,
763,154,
-1,-1
