19,70,
25,69,
25,97,
25,125,
19,135,
-1,-1,
25,69,
35,83,
25,97,
-1,-1,
25,69,
32,64,
70,54,
72,61,
64,64,
61,65,
53,67,
28,75,
-1,-1,
70,54,
86,54,
84,62,
72,61,
-1,-1,
86,54,
90,58,
91,64,
84,62,
-1,-1,
91,64,
91,138,
85,134,
84,62,
-1,-1,
91,138,
85,146,
79,133,
85,134,
-1,-1,
35,83,
43,87,
25,97,
-1,-1,
35,83,
43,87,
48,86,
57,81,
55,75,
-1,-1,
55,75,
62,71,
66,72,
66,77,
57,81,
-1,-1,
55,75,
62,71,
62,65,
54,67,
-1,-1,
66,71,
66,77,
79,77,
79,71,
-1,-1,
79,71,
66,71,
65,64,
72,62,
-1,-1,
57,81,
66,77,
70,90,
62,89,
-1,-1,
70,90,
62,89,
67,102,
76,102,
-1,-1,
76,102,
83,113,
80,121,
72,112,
-1,-1,
73,82,
79,89,
70,90,
-1,-1,
70,90,
79,89,
76,102,
-1,-1,
67,102,
76,102,
72,112,
54,116,
-1,-1,
72,112,
54,116,
44,123,
62,121,
-1,-1,
42,87,
27,103,
27,109,
38,103,
43,94,
49,86,
-1,-1,
38,103,
43,94,
55,87,
53,101,
-1,-1,
55,87,
53,101,
62,89,
58,82,
-1,-1,
53,101,
61,107,
31,119,
30,111,
38,103,
-1,-1,
53,101,
61,107,
66,102,
63,98,
-1,-1,
25,125,
19,135,
30,134,
-1,-1,
30,134,
44,132,
25,125,
-1,-1,
25,125,
44,123,
61,121,
80,122,
81,124,
80,129,
78,131,
44,132,
-1,-1
