526,52,
520,61,
524,63,
531,57,
-1,-1,
516,57,
524,64,
524,96,
516,98,
-1,-1,
524,64,
529,64,
529,70,
523,78,
-1,-1,
524,78,
524,89,
531,81,
533,74,
-1,-1,
544,53,
537,65,
545,65,
549,55,
-1,-1,
529,64,
550,64,
551,69,
533,75,
-1,-1,
533,74,
538,79,
535,87,
-1,-1,
538,79,
544,79,
545,82,
543,89,
535,87,
-1,-1,
543,89,
535,87,
528,95,
-1,-1,
541,71,
545,70,
544,80,
538,79,
-1,-1,
548,60,
565,54,
567,63,
-1,-1,
567,57,
550,69,
547,82,
559,85,
-1,-1,
509,102,
500,111,
500,122,
506,123,
514,107,
-1,-1,
509,102,
516,97,
523,96,
514,107,
-1,-1,
523,97,
528,94,
543,90,
552,87,
559,85,
575,84,
566,88,
514,107,
-1,-1,
575,84,
582,88,
580,96,
565,88,
-1,-1,
580,96,
571,90,
561,99,
-1,-1,
558,66,
551,91,
558,88,
565,63,
-1,-1,
536,105,
548,97,
553,97,
553,103,
550,107,
546,108,
-1,-1,
550,107,
554,110,
555,117,
546,117,
541,114,
546,108,
-1,-1,
541,114,
525,117,
527,123,
546,118,
-1,-1,
554,110,
567,111,
570,113,
570,116,
567,118,
555,117,
-1,-1,
546,117,
555,117,
553,147,
548,131,
-1,-1,
553,147,
548,131,
544,141,
542,157,
-1,-1,
544,141,
542,157,
531,163,
530,155,
-1,-1,
531,163,
530,155,
512,163,
512,166,
-1,-1,
512,163,
512,166,
498,160,
-1,-1,
