317,66,
320,69,
325,67,
322,62,
-1,-1,
320,69,
325,67,
325,102,
320,104,
-1,-1,
327,62,
330,66,
334,63,
-1,-1,
330,66,
334,63,
334,100,
330,101,
-1,-1,
340,63,
340,98,
345,97,
345,63,
-1,-1,
340,63,
345,63,
353,60,
357,53,
-1,-1,
345,70,
345,97,
348,97,
351,80,
352,69,
-1,-1,
357,53,
353,60,
353,97,
358,96,
361,60,
362,54,
-1,-1,
352,84,
352,90,
349,91,
-1,-1,
361,61,
374,54,
369,65,
361,65,
-1,-1,
374,54,
369,65,
373,77,
382,55,
-1,-1,
369,65,
375,83,
366,105,
-1,-1,
360,71,
358,76,
367,82,
368,75,
-1,-1,
367,82,
367,87,
359,87,
359,84,
-1,-1,
366,93,
361,87,
363,95,
-1,-1,
290,111,
288,119,
293,124,
311,114,
-1,-1,
290,111,
390,91,
394,93,
394,98,
311,114,
-1,-1,
348,102,
357,101,
351,110,
-1,-1,
306,120,
316,137,
319,124,
-1,-1,
316,137,
319,124,
338,120,
330,131,
-1,-1,
341,118,
342,121,
355,114,
-1,-1,
370,112,
389,139,
392,125,
-1,-1,
